x_i          u_i         Analitic sol    f_i 
0.009901   0.084297    0.084366   90.573374 
0.019802   0.159715    0.159845   82.035361 
0.029703   0.227091    0.227276   74.302194 
0.039604   0.287183    0.287418   67.298004 
0.049505   0.340678    0.340957   60.954073 
0.059406   0.388198    0.388515   55.208161 
0.069307   0.430306    0.430657   50.003894 
0.079208   0.467511    0.467894   45.290214 
0.089109   0.500278    0.500686   41.020875 
0.099010   0.529022    0.529455   37.153990 
0.108911   0.554125    0.554578   33.651623 
0.118812   0.575929    0.576399   30.479410 
0.128713   0.594745    0.595231   27.606230 
0.138614   0.610854    0.611353   25.003894 
0.148515   0.624513    0.625023   22.646870 
0.158416   0.635951    0.636471   20.512035 
0.168317   0.645379    0.645906   18.578442 
0.178218   0.652985    0.653519   16.827122 
0.188119   0.658942    0.659481   15.240892 
0.198020   0.663405    0.663947   13.804190 
0.207921   0.666515    0.667059   12.502921 
0.217822   0.668399    0.668945   11.324317 
0.227723   0.669173    0.669719   10.256816 
0.237624   0.668941    0.669488   9.289944 
0.247525   0.667799    0.668344   8.414216 
0.257426   0.665831    0.666376   7.621039 
0.267327   0.663117    0.663659   6.902632 
0.277228   0.659726    0.660265   6.251947 
0.287129   0.655722    0.656258   5.662599 
0.297030   0.651164    0.651696   5.128807 
0.306931   0.646102    0.646630   4.645334 
0.316832   0.640585    0.641108   4.207436 
0.326733   0.634655    0.635174   3.810816 
0.336634   0.628352    0.628866   3.451585 
0.346535   0.621711    0.622219   3.126217 
0.356436   0.614763    0.615265   2.831520 
0.366337   0.607537    0.608034   2.564603 
0.376238   0.600061    0.600551   2.322848 
0.386139   0.592356    0.592840   2.103882 
0.396040   0.584445    0.584923   1.905557 
0.405941   0.576348    0.576819   1.725927 
0.415842   0.568081    0.568545   1.563230 
0.425743   0.559661    0.560118   1.415870 
0.435644   0.551102    0.551552   1.282402 
0.445545   0.542417    0.542861   1.161514 
0.455446   0.533619    0.534055   1.052023 
0.465347   0.524717    0.525146   0.952853 
0.475248   0.515722    0.516144   0.863031 
0.485149   0.506643    0.507057   0.781676 
0.495050   0.497487    0.497893   0.707990 
0.504950   0.488261    0.488660   0.641251 
0.514851   0.478972    0.479364   0.580802 
0.524752   0.469627    0.470011   0.526052 
0.534653   0.460230    0.460606   0.476463 
0.544554   0.450786    0.451155   0.431549 
0.554455   0.441300    0.441661   0.390868 
0.564356   0.431776    0.432129   0.354023 
0.574257   0.422217    0.422562   0.320650 
0.584158   0.412627    0.412964   0.290424 
0.594059   0.403008    0.403337   0.263047 
0.603960   0.393363    0.393685   0.238250 
0.613861   0.383695    0.384009   0.215791 
0.623762   0.374006    0.374311   0.195449 
0.633663   0.364297    0.364595   0.177025 
0.643564   0.354572    0.354861   0.160338 
0.653465   0.344830    0.345112   0.145223 
0.663366   0.335075    0.335348   0.131534 
0.673267   0.325306    0.325572   0.119134 
0.683168   0.315526    0.315784   0.107904 
0.693069   0.305735    0.305985   0.097732 
0.702970   0.295935    0.296176   0.088519 
0.712871   0.286126    0.286359   0.080175 
0.722772   0.276309    0.276534   0.072617 
0.732673   0.266485    0.266702   0.065772 
0.742574   0.256654    0.256864   0.059572 
0.752475   0.246818    0.247019   0.053956 
0.762376   0.236976    0.237170   0.048870 
0.772277   0.227130    0.227315   0.044263 
0.782178   0.217279    0.217456   0.040091 
0.792079   0.207424    0.207594   0.036311 
0.801980   0.197566    0.197727   0.032889 
0.811881   0.187704    0.187858   0.029788 
0.821782   0.177840    0.177985   0.026980 
0.831683   0.167973    0.168110   0.024437 
0.841584   0.158104    0.158233   0.022133 
0.851485   0.148232    0.148353   0.020047 
0.861386   0.138358    0.138471   0.018157 
0.871287   0.128483    0.128588   0.016446 
0.881188   0.118606    0.118703   0.014895 
0.891089   0.108728    0.108816   0.013491 
0.900990   0.098848    0.098929   0.012219 
0.910891   0.088967    0.089040   0.011068 
0.920792   0.079085    0.079149   0.010024 
0.930693   0.069202    0.069258   0.009079 
0.940594   0.059318    0.059366   0.008223 
0.950495   0.049433    0.049474   0.007448 
0.960396   0.039548    0.039580   0.006746 
0.970297   0.029662    0.029686   0.006110 
0.980198   0.019775    0.019791   0.005534 
0.990099   0.009888    0.009896   0.005013 
