x_i          u_i       Analitic sol  f_i 
0.000999   0.008941    0.008941   99.005972 
0.001998   0.017784    0.017784   98.021826 
0.002997   0.026528    0.026529   97.047462 
0.003996   0.035176    0.035176   96.082783 
0.004995   0.043728    0.043728   95.127694 
0.005994   0.052185    0.052185   94.182098 
0.006993   0.060548    0.060548   93.245902 
0.007992   0.068818    0.068818   92.319012 
0.008991   0.076995    0.076996   91.401336 
0.009990   0.085082    0.085083   90.492782 
0.010989   0.093078    0.093079   89.593258 
0.011988   0.100985    0.100986   88.702677 
0.012987   0.108803    0.108804   87.820948 
0.013986   0.116534    0.116535   86.947983 
0.014985   0.124178    0.124179   86.083696 
0.015984   0.131736    0.131737   85.228001 
0.016983   0.139208    0.139210   84.380811 
0.017982   0.146597    0.146598   83.542042 
0.018981   0.153902    0.153904   82.711611 
0.019980   0.161125    0.161127   81.889435 
0.020979   0.168266    0.168268   81.075432 
0.021978   0.175326    0.175328   80.269520 
0.022977   0.182306    0.182308   79.471618 
0.023976   0.189207    0.189209   78.681649 
0.024975   0.196029    0.196031   77.899531 
0.025974   0.202774    0.202775   77.125188 
0.026973   0.209441    0.209443   76.358543 
0.027972   0.216032    0.216034   75.599518 
0.028971   0.222548    0.222550   74.848038 
0.029970   0.228989    0.228991   74.104028 
0.030969   0.235356    0.235358   73.367413 
0.031968   0.241650    0.241652   72.638121 
0.032967   0.247872    0.247874   71.916078 
0.033966   0.254021    0.254023   71.201212 
0.034965   0.260100    0.260102   70.493453 
0.035964   0.266108    0.266110   69.792728 
0.036963   0.272047    0.272049   69.098969 
0.037962   0.277916    0.277919   68.412107 
0.038961   0.283718    0.283720   67.732071 
0.039960   0.289451    0.289454   67.058796 
0.040959   0.295118    0.295121   66.392213 
0.041958   0.300719    0.300721   65.732256 
0.042957   0.306254    0.306256   65.078859 
0.043956   0.311724    0.311726   64.431958 
0.044955   0.317129    0.317132   63.791486 
0.045954   0.322472    0.322474   63.157381 
0.046953   0.327751    0.327753   62.529579 
0.047952   0.332967    0.332970   61.908018 
0.048951   0.338122    0.338125   61.292635 
0.049950   0.343216    0.343219   60.683370 
0.050949   0.348249    0.348252   60.080160 
0.051948   0.353222    0.353225   59.482947 
0.052947   0.358136    0.358139   58.891670 
0.053946   0.362991    0.362994   58.306271 
0.054945   0.367787    0.367791   57.726690 
0.055944   0.372527    0.372530   57.152871 
0.056943   0.377209    0.377212   56.584756 
0.057942   0.381835    0.381838   56.022288 
0.058941   0.386404    0.386408   55.465411 
0.059940   0.390919    0.390922   54.914069 
0.060939   0.395378    0.395382   54.368208 
0.061938   0.399784    0.399787   53.827773 
0.062937   0.404135    0.404139   53.292710 
0.063936   0.408434    0.408437   52.762966 
0.064935   0.412680    0.412683   52.238488 
0.065934   0.416873    0.416877   51.719223 
0.066933   0.421015    0.421019   51.205119 
0.067932   0.425106    0.425110   50.696126 
0.068931   0.429147    0.429150   50.192193 
0.069930   0.433137    0.433140   49.693269 
0.070929   0.437077    0.437081   49.199304 
0.071928   0.440969    0.440973   48.710249 
0.072927   0.444812    0.444816   48.226056 
0.073926   0.448607    0.448611   47.746676 
0.074925   0.452354    0.452358   47.272061 
0.075924   0.456054    0.456058   46.802163 
0.076923   0.459707    0.459711   46.336937 
0.077922   0.463314    0.463318   45.876335 
0.078921   0.466876    0.466879   45.420312 
0.079920   0.470391    0.470395   44.968821 
0.080919   0.473862    0.473866   44.521819 
0.081918   0.477289    0.477293   44.079260 
0.082917   0.480672    0.480676   43.641100 
0.083916   0.484011    0.484015   43.207295 
0.084915   0.487307    0.487311   42.777803 
0.085914   0.490560    0.490564   42.352579 
0.086913   0.493771    0.493775   41.931583 
0.087912   0.496940    0.496944   41.514772 
0.088911   0.500068    0.500072   41.102103 
0.089910   0.503154    0.503159   40.693537 
0.090909   0.506201    0.506205   40.289032 
0.091908   0.509206    0.509211   39.888548 
0.092907   0.512172    0.512177   39.492045 
0.093906   0.515099    0.515103   39.099483 
0.094905   0.517987    0.517991   38.710823 
0.095904   0.520836    0.520840   38.326027 
0.096903   0.523646    0.523651   37.945056 
0.097902   0.526419    0.526424   37.567872 
0.098901   0.529155    0.529159   37.194437 
0.099900   0.531853    0.531857   36.824714 
0.100899   0.534514    0.534519   36.458666 
0.101898   0.537139    0.537144   36.096257 
0.102897   0.539729    0.539733   35.737450 
0.103896   0.542282    0.542287   35.382210 
0.104895   0.544800    0.544805   35.030501 
0.105894   0.547283    0.547288   34.682288 
0.106893   0.549732    0.549736   34.337537 
0.107892   0.552146    0.552151   33.996212 
0.108891   0.554526    0.554531   33.658280 
0.109890   0.556873    0.556878   33.323708 
0.110889   0.559187    0.559191   32.992461 
0.111888   0.561467    0.561472   32.664507 
0.112887   0.563715    0.563720   32.339813 
0.113886   0.565931    0.565936   32.018346 
0.114885   0.568115    0.568119   31.700075 
0.115884   0.570267    0.570271   31.384967 
0.116883   0.572388    0.572392   31.072992 
0.117882   0.574477    0.574482   30.764118 
0.118881   0.576536    0.576541   30.458314 
0.119880   0.578565    0.578570   30.155550 
0.120879   0.580564    0.580568   29.855796 
0.121878   0.582532    0.582537   29.559021 
0.122877   0.584472    0.584476   29.265196 
0.123876   0.586382    0.586387   28.974292 
0.124875   0.588263    0.588268   28.686279 
0.125874   0.590115    0.590120   28.401130 
0.126873   0.591940    0.591944   28.118815 
0.127872   0.593736    0.593741   27.839306 
0.128871   0.595504    0.595509   27.562576 
0.129870   0.597245    0.597250   27.288596 
0.130869   0.598958    0.598963   27.017340 
0.131868   0.600645    0.600650   26.748780 
0.132867   0.602305    0.602310   26.482890 
0.133866   0.603938    0.603944   26.219643 
0.134865   0.605546    0.605551   25.959012 
0.135864   0.607127    0.607132   25.700972 
0.136863   0.608683    0.608688   25.445498 
0.137862   0.610213    0.610218   25.192562 
0.138861   0.611719    0.611724   24.942141 
0.139860   0.613199    0.613204   24.694210 
0.140859   0.614655    0.614660   24.448742 
0.141858   0.616086    0.616091   24.205715 
0.142857   0.617493    0.617498   23.965104 
0.143856   0.618876    0.618882   23.726884 
0.144855   0.620236    0.620241   23.491032 
0.145854   0.621572    0.621577   23.257525 
0.146853   0.622885    0.622890   23.026339 
0.147852   0.624175    0.624180   22.797450 
0.148851   0.625442    0.625447   22.570838 
0.149850   0.626687    0.626692   22.346477 
0.150849   0.627909    0.627914   22.124347 
0.151848   0.629109    0.629114   21.904425 
0.152847   0.630288    0.630293   21.686689 
0.153846   0.631444    0.631450   21.471117 
0.154845   0.632580    0.632585   21.257688 
0.155844   0.633694    0.633699   21.046381 
0.156843   0.634787    0.634792   20.837174 
0.157842   0.635859    0.635865   20.630047 
0.158841   0.636911    0.636916   20.424979 
0.159840   0.637942    0.637948   20.221949 
0.160839   0.638953    0.638959   20.020937 
0.161838   0.639945    0.639950   19.821923 
0.162837   0.640916    0.640921   19.624888 
0.163836   0.641868    0.641873   19.429811 
0.164835   0.642800    0.642806   19.236674 
0.165834   0.643713    0.643719   19.045456 
0.166833   0.644608    0.644613   18.856139 
0.167832   0.645483    0.645488   18.668703 
0.168831   0.646340    0.646345   18.483131 
0.169830   0.647178    0.647184   18.299404 
0.170829   0.647998    0.648004   18.117503 
0.171828   0.648800    0.648806   17.937410 
0.172827   0.649584    0.649590   17.759107 
0.173826   0.650351    0.650356   17.582577 
0.174825   0.651099    0.651105   17.407801 
0.175824   0.651831    0.651836   17.234763 
